Conference,Year,Authors,Title,Proceedings,PlaceTime,CategoryID,Category,PDF,Slides,Bibtex,Order
IC2S2,2024,"P. Smeros, A. Edelmann.",MoraLLM: Morality Quantification on Interviews Using Zero-Shot Classification.,In the 10th International Conference on Computational Social Science (IC2S2'24).,"Philadelphia, USA. 17-20 July, 2024.",4,Demo/Poster,files/ic2s22024.pdf,,,8
ICWSM,2023,"M. Gruppi, P. Smeros, S. Adali, C. Castillo, K. Aberer.",SciLander: Mapping the Scientific News Landscape.,In the 17th International AAAI Conference on Web and Social Media (ICWSM'23).,"Limassol, Cyprus. 5-8 June, 2023.",1,Conference Paper,files/icwsm2023.pdf,,files/icwsm2023.bib,7
CIKM,2021,"P. Smeros, C. Castillo, K. Aberer.",SciClops: Detecting and Contextualizing Scientific Claims for Assisting Manual Fact-Checking.,In the 30th ACM International Conference on Information and Knowledge Management (CIKM '21).,"QLD, Australia. 1-5 November, 2021.",1,Conference Paper,files/cikm2021.pdf,files/cikm2021.pptx,files/cikm2021.bib,6
AI Magazine,2021,"P. Smeros, J. Rappaz, M. Bazzi, E. Kochkina, M. Liakata, K. Aberer.",Mediate 2021: News Media and Computational Journalism Workshop.,In the AI Magazine.,June 2021.,3,Journal Paper,files/mediate2021.pdf,,,
AI Magazine,2020,"P. Smeros, J. Rappaz, M. Bazzi.",Mediate 2020: News Media and Computational Journalism Workshop.,In the AI Magazine.,December 2020.,3,Journal Paper,files/mediate2020.pdf,,,
VLDB,2020,"A. Romanou, P. Smeros, C. Castillo, K. Aberer.",SciLens News Platform: A System for Real-Time Evaluation of News Articles.,In the 46th International Conference on Very Large Data Bases (VLDB 2020).," Tokyo, Japan. 31 August -  4 September, 2020. ",4,Demo/Poster,files/vldb2020.pdf,,files/vldb2020.bib,5
WWW,2019,"P. Smeros, C. Castillo, K. Aberer.",SciLens: Evaluating the Quality of Scientific News Articles Using Social Media and Scientific Literature Indicators.,In the 28th World Wide Web Conference (WWW 2019).,"San Francisco, California, USA. 13-17 May, 2019.",1,Conference Paper,files/www2019.pdf,files/www2019.pptx,files/www2019.bib,4
AAAI,2017,"M.A. Sherif, K. Dreßler, P. Smeros, A.-C. Ngonga Ngomo.",Radon - Rapid Discovery of Topological Relations.,In the 31st AAAI Conference on Artificial Intelligence (AAAI 17).,"San Francisco, California, USA. 4-9 February, 2017.",1,Conference Paper,files/aaai2017.pdf,,,3
LDOW,2017,"P. Smeros, A. Gupta, M. Catasta, K. Aberer.",deepschema.org: An Ontology for Typing Entities in the Web of Data.,In the 10th Workshop on Linked Data on the Web (LDOW 2017).,"Perth, WA, Australia. 3 April, 2017.",2,Workshop Paper,files/ldow2017.pdf,files/ldow2017.pptx,,
AMLD,2017,"B. Besbinar, D. Sarigiannis, P. Smeros.",A Survey on the Recent Techniques for Sentiment Analysis on Twitter.,In the Applied Machine Learning Days (AMLD 2017).,"Lausanne, Switzerland. 30-31 January, 2017.",4,Demo/Poster,files/amld2017.pdf,,,
